block,process,cell,method,phase,iteration,position,seconds,output_sha256
primary,0,k256,F16,retained,0,1,0.5594208940019598,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
primary,0,k256,F16,retained,1,0,0.5612052819924429,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
primary,0,k256,F8,retained,1,1,0.5664078020054149,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
primary,0,k256,F8,retained,2,0,0.5652291449951008,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
primary,0,k256,F16,retained,2,1,0.5610225930140587,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
primary,0,k256,F16,retained,3,0,0.5603372630139347,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
primary,0,k256,F8,retained,3,1,0.5655042410071474,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
primary,0,k256,F8,retained,4,0,0.5654712440009462,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
primary,0,k256,F16,retained,4,1,0.5602646199986339,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
primary,0,k256,F16,retained,5,0,0.5597552520048339,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
primary,0,k256,F8,retained,5,1,0.5678011939889984,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
primary,0,k1024,F16,warmup,0,0,2.29352741499315,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
primary,0,k1024,F8,warmup,0,1,2.316420864997781,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
primary,0,k1024,F8,warmup,1,0,2.3159874199918704,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
primary,0,k1024,F16,warmup,1,1,2.2849951590033015,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
primary,0,k1024,F16,retained,0,0,2.2797817579994444,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
primary,0,k1024,F8,retained,0,1,2.313494746995275,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
primary,0,k1024,F8,retained,1,0,2.3157364660000894,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
primary,0,k1024,F16,retained,1,1,2.2835441670031287,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
primary,0,k1024,F16,retained,2,0,2.282863706990611,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
primary,0,k1024,F8,retained,2,1,2.3168296170042595,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
primary,0,k1024,F8,retained,3,0,2.313191042005201,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
primary,0,k1024,F16,retained,3,1,2.289170327989268,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
primary,0,k1024,F16,retained,4,0,2.2822633720061276,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
primary,0,k1024,F8,retained,4,1,2.319599902999471,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
primary,0,k1024,F8,retained,5,0,2.3157873890013434,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
primary,0,k1024,F16,retained,5,1,2.2847485919919563,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
primary,1,k4,F16,warmup,0,0,0.5072316580044571,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,1,k4,F8,warmup,0,1,0.06838806399900932,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
