cell,method,process,repetition,query_seconds,output_count,output_sha256,peak_allocated_bytes,peak_reserved_bytes,output_finalize_seconds,batches
k1024,project64,0,2,0.3433325060032075,61458806,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3,2090067968,2596274176,0.2838886780082248,93
k1024,project64,0,3,0.3422931679961039,61458806,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3,2090067968,2596274176,0.28327197600447107,93
k1024,packed16,0,0,0.34413660800782964,61458806,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3,2146255360,2654994432,0.2850336999981664,88
k1024,packed16,0,1,0.34392432299500797,61458806,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3,2146255360,2654994432,0.28521426500810776,88
k1024,packed16,0,2,0.3427136320096906,61458806,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3,2146255360,2654994432,0.28351849599857815,88
k1024,packed16,0,3,0.3481115070026135,61458806,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3,2146255360,2654994432,0.2827321130025666,88
k1024,sequential,0,0,0.3454554360068869,61458806,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3,2097635328,2602565632,0.28489047900075093,108
k1024,sequential,0,1,0.3486928310012445,61458806,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3,2097635328,2602565632,0.2849004190065898,108
k1024,sequential,0,2,0.34512224201171193,61458806,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3,2097635328,2602565632,0.28477641999779735,108
k1024,sequential,0,3,0.3434011770004872,61458806,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3,2097635328,2602565632,0.2831291770125972,108
