layout,size,cell,threshold,family,blocks,pairs,positive_pairs,oracle_empty_blocks,oracle_full_blocks,oracle_resolved_fraction,rejected_blocks,accepted_blocks,resolved_fraction,resolved_pair_fraction,rejected_pairs,accepted_pairs,empty_block_recall,ordering_seconds,pivot_preprocessing_seconds,metadata_seconds,bound_seconds,false_reject_blocks,false_accept_blocks
original,64,k1024,0.5802154541015625,box,440391,1800030000,30759403,0,0,0.0,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,2.8128071809915127,0,0
original,64,k1024,0.5802154541015625,sphere,440391,1800030000,30759403,0,0,0.0,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,0.5997204070008593,0,0
original,64,k1024,0.5802154541015625,pivot,440391,1800030000,30759403,0,0,0.0,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,0.1253332119958941,0,0
original,64,k1024,0.5802154541015625,combined,440391,1800030000,30759403,0,0,0.0,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,3.54124270498869,0,0
original,128,k4,0.26085758209228516,box,110215,1800030000,178659,48301,0,0.4382434332894797,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.1164393840008415,0.7006015929946443,0,0
original,128,k4,0.26085758209228516,sphere,110215,1800030000,178659,48301,0,0.4382434332894797,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.1164393840008415,0.14863328699721023,0,0
original,128,k4,0.26085758209228516,pivot,110215,1800030000,178659,48301,0,0.4382434332894797,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.1164393840008415,0.031369049989734776,0,0
original,128,k4,0.26085758209228516,combined,110215,1800030000,178659,48301,0,0.4382434332894797,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.1164393840008415,0.8815461729827803,0,0
original,128,k16,0.32358765602111816,box,110215,1800030000,538429,6987,0,0.06339427482647553,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.1164393840008415,0.7006015929946443,0,0
original,128,k16,0.32358765602111816,sphere,110215,1800030000,538429,6987,0,0.06339427482647553,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.1164393840008415,0.14863328699721023,0,0
original,128,k16,0.32358765602111816,pivot,110215,1800030000,538429,6987,0,0.06339427482647553,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.1164393840008415,0.031369049989734776,0,0
original,128,k16,0.32358765602111816,combined,110215,1800030000,538429,6987,0,0.06339427482647553,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.1164393840008415,0.8815461729827803,0,0
original,128,k64,0.39460235834121704,box,110215,1800030000,1961499,16,0,0.00014517080252234268,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.1164393840008415,0.7006015929946443,0,0
original,128,k64,0.39460235834121704,sphere,110215,1800030000,1961499,16,0,0.00014517080252234268,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.1164393840008415,0.14863328699721023,0,0
original,128,k64,0.39460235834121704,pivot,110215,1800030000,1961499,16,0,0.00014517080252234268,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.1164393840008415,0.031369049989734776,0,0
