block,process,cell,method,output_mode,phase,iteration,position,seconds,output_finalize_seconds,output_download_bytes,output_gpu_copy_bytes,cub_scratch_bytes,peak_allocated_bytes,peak_reserved_bytes,output_sha256
primary,0,original,F32,gpu_radix,retained,0,0,0.14980686700437218,0.019599474995629862,31408624,15944312,32606975,566569984,880803840,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F32,legacy,retained,0,1,0.23705814199638553,0.09721159600303508,15944312,0,0,469237760,880803840,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F32,legacy,retained,1,0,0.23716652300208807,0.09725105900724884,15944312,0,0,469237760,880803840,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F32,gpu_radix,retained,1,1,0.1480951260018628,0.01902561700262595,31408624,15944312,32606975,566569984,880803840,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F32,gpu_radix,retained,2,0,0.14805184800934512,0.019521529000485316,31408624,15944312,32606975,566569984,880803840,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F32,legacy,retained,2,1,0.23656307300552726,0.09725750201323535,15944312,0,0,469237760,880803840,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F32,legacy,retained,3,0,0.2375245289877057,0.09775490300671663,15944312,0,0,469237760,880803840,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F32,gpu_radix,retained,3,1,0.14996817099745385,0.019028540002182126,31408624,15944312,32606975,566569984,880803840,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,k256,F16,legacy,warmup,0,0,0.572201948001748,0.47104803699767217,61957712,0,0,600830464,612368384,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
primary,0,k256,F16,gpu_radix,warmup,0,1,0.1331912190071307,0.07336162999854423,123435424,61957712,126678783,975341056,1124073472,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
