layout,kind,cell,full_offdiag_occupied_tiles,candidate_count_quantiles,candidate_density_median,few6_fraction,few16_fraction,few64_fraction,oracle_empty_survivor_tiles,oracle_empty_candidate_count_quantiles,oracle_empty_few64_fraction,active_rows_quantiles,active_cols_quantiles,cover8_fraction,cover16_fraction,both_full64_fraction,oracle_empty_cover8_fraction,sparse_exception_gate
random,r64,k16,438508,"[1.0, 14.0, 18.0, 23.0, 29.0, 42.0, 74.0]",0.00439453125,0.020567469692685195,0.41207229970718895,0.999956671257993,194190,"[1.0, 12.0, 16.0, 21.0, 26.0, 37.0, 63.0]",1.0,"[1.0, 9.0, 12.0, 14.0, 16.0, 20.0, 33.0]","[1.0, 9.0, 12.0, 14.0, 16.0, 20.0, 29.0]",0.24880959982486067,0.9605457597124796,0.0,0.3415572377568361,True
random,r64,k64,438516,"[13.0, 57.0, 70.0, 84.0, 98.0, 127.0, 187.0]",0.01708984375,0.0,1.3682511014421366e-05,0.39411560809639784,31472,"[13.0, 48.0, 59.0, 71.0, 83.0, 109.0, 150.0]",0.6284951703101169,"[9.0, 25.0, 28.0, 31.0, 33.0, 38.0, 46.0]","[9.0, 25.0, 28.0, 31.0, 33.0, 38.0, 48.0]",0.0,0.0076553649125687545,0.0,0.0,True
random,r64,original,438516,"[14.0, 58.0, 71.0, 85.0, 99.0, 129.0, 189.0]",0.017333984375,0.0,1.1402092512017805e-05,0.37382444426201095,30322,"[14.0, 49.0, 60.0, 72.0, 84.0, 110.0, 151.0]",0.6102829628652463,"[9.0, 25.0, 28.0, 31.0, 34.0, 38.0, 46.0]","[10.0, 25.0, 28.0, 31.0, 33.0, 38.0, 48.0]",0.0,0.006656541608515995,0.0,0.0,True
random,r64,k256,438516,"[79.0, 192.0, 221.0, 253.0, 285.0, 343.0, 447.0]",0.053955078125,0.0,0.0,0.0,120,"[86.0, 147.0, 168.0, 189.25, 218.10000000000002, 244.72000000000003, 250.0]",0.0,"[24.0, 43.0, 46.0, 49.0, 51.0, 54.0, 61.0]","[26.0, 43.0, 46.0, 48.0, 51.0, 54.0, 61.0]",0.0,0.0,0.0,0.0,False
random,r64,k1024,438516,"[297.0, 520.0, 576.0, 636.0, 693.0, 796.0, 1065.0]",0.140625,0.0,0.0,0.0,0,,,"[45.0, 56.0, 58.0, 60.0, 61.0, 63.0, 64.0]","[44.0, 56.0, 58.0, 60.0, 61.0, 63.0, 64.0]",0.0,0.0,4.560837004807122e-06,,False
kd_variance,oracle,k4,16599,"[1.0, 1.0, 2.0, 4.0, 13.0, 90.0, 757.0]",0.00048828125,0.8178203506235315,0.9206578709560816,0.9838544490631965,0,,,,,,,,,
kd_variance,oracle,k16,50609,"[1.0, 1.0, 2.0, 6.0, 18.0, 130.0, 1237.0]",0.00048828125,0.7693295658874904,0.8927463494635342,0.9737793673062104,0,,,,,,,,,
kd_variance,oracle,k64,137173,"[1.0, 1.0, 3.0, 9.0, 28.0, 186.0, 1808.0]",0.000732421875,0.6791205266342502,0.8371618321389778,0.9582352212170033,0,,,,,,,,,
kd_variance,oracle,original,138642,"[1.0, 1.0, 3.0, 9.0, 28.0, 187.0, 1815.0]",0.000732421875,0.678055711833355,0.8360165029356184,0.9579420377663335,0,,,,,,,,,
kd_variance,oracle,k256,287482,"[1.0, 2.0, 7.0, 22.0, 61.0, 320.0, 2409.0]",0.001708984375,0.4949214211672383,0.6980332681698332,0.9049679632116098,0,,,,,,,,,
