process,repeat,cell,method,mode,seconds,executed_tiles,batches,output_sha256
0,3,k1024,F16,original_full,0.34208783801295795,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
1,0,k4,F16,layout_full,0.05186606600182131,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,0,k4,F16,geometric,0.045009691995801404,346802,85,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,0,k4,F16,original_full,0.05213526800798718,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,0,k4,F8,layout_full,0.05085942801088095,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,0,k4,F8,geometric,0.04334924499562476,346802,85,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,0,k4,F8,original_full,0.04733972600661218,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,1,k4,F8,layout_full,0.048188080996624194,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,1,k4,F8,original_full,0.047280329003115185,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,1,k4,F8,geometric,0.04283403400040697,346802,85,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,1,k4,F16,layout_full,0.050957750994712114,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,1,k4,F16,original_full,0.05226938500709366,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,1,k4,F16,geometric,0.04464818500855472,346802,85,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,2,k4,F16,original_full,0.052140947998850606,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,2,k4,F16,layout_full,0.05069876699417364,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,2,k4,F16,geometric,0.044562741997651756,346802,85,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,2,k4,F8,original_full,0.04710988199803978,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,2,k4,F8,layout_full,0.047913022004649974,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,2,k4,F8,geometric,0.0426616019976791,346802,85,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,3,k4,F8,original_full,0.047093636996578425,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,3,k4,F8,geometric,0.042462994999368675,346802,85,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,3,k4,F8,layout_full,0.047907340005622245,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,3,k4,F16,original_full,0.05197298699931707,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,3,k4,F16,geometric,0.04427057900466025,346802,85,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,3,k4,F16,layout_full,0.05037967799580656,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
1,0,k1024,F8,layout_full,0.4381999320030445,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
1,0,k1024,F8,geometric,0.3790994650044013,413156,101,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
1,0,k1024,F8,original_full,0.3844684350042371,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
1,0,k1024,F16,layout_full,0.34489821500028484,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
1,0,k1024,F16,geometric,0.34460455999942496,413156,101,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
1,0,k1024,F16,original_full,0.34624318999703974,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
